layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
2.11623,0.00817409,1.50748,19.0759,0.0202883,3.7416
4,6.18877,6.24544,7.76796,0.0413422,0.274829,0.278057,5.68272,0.000919214,1.10199,1.15867,6.41714,0.0400882,0.132319,0.135547,2.2247,0.000222417,, , 0.462924,1.54823,0.249511,8.74862,4.72399,6.41714,0.0400882,0.0584488,0.175193,0.0761984,0.0164749,0.0118465,0.284231,2.2247,0.000222417,3.46485
5,1.53002,1.55088,7.0385,0.0774471,0.0878137,0.0889324,7.70087,0.000732305,0.273816,0.294673,5.50268,0.074939,0.0482578,0.0493764,0.787038,0.000336605,, , 0.169731,0.307138,0.0916197,6.2831,1.66169,5.50268,0.074939,0.116473,0.0675473,0.024022,0.00606482,0.017688,0.0855392,0.787038,0.000336605,6.90454
6,2.4432,2.48723,8.44053,0.167187,0.149977,0.152594,15.366,0.00109247,0.444749,0.488777,5.50316,0.162171,0.0959683,0.0985848,1.53858,0.000974283,, , 0.343007,0.409594,0.180924,11.9572,2.77019,5.50316,0.162171,0.232886,0.135739,0.0467762,0.0120381,0.0313899,0.125166,1.53858,0.000974283,13.8055
7,0.470012,0.471154,9.57559,0.1861,0.0296897,0.0299996,49.3662,0.000236982,0.385768,0.38691,0.013091,0.169015,0.016364,0.0166739,0.203444,1.97579e-05,, , 0.00989557,0.757676,0.00510665,12.0326,0.287442,0.013091,0.169015,0.827824,0.0135248,0.0183357,0.00117745,0.107445,0.0520212,0.203444,1.97579e-05,49.0734
8,0.028619,0.0287555,0.0180002,0.0007619,0.000539029,0.000545288,0.0602445,3.58195e-07,0.00198236,0.00211887,0.00202934,0.000741045,8.71761e-05,9.34345e-05,0.000225338,9.30289e-08,, , 0.00126752,0.00218914,0.000644581,0.0803593,0.0212423,0.00202934,0.000741045,0.00101147,7.34302e-05,8.89254e-05,1.8255e-05,0.000321226,0.00074128,0.000225338,9.30289e-08,0.0599602
Total,38.0701,30.2669,53.2741,0.506405,1.28069,1.22114,84.5218,0.00420184,6.89873,6.98859,34.7023,0.479574,0.546919,0.54182,8.47801,0.00166398,, , 1.81617,11.0806,0.990543,66.3248,24.4279,34.7023,0.479574,1.2825,0.684686,0.339823,0.0642308,0.186405,1.4432,8.47801,0.00166398,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1187,0.00818883,1.51019,19.274,0.0203794,3.7584
