1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001718,0.000155,-0.000104,-0.000331,-0.000386,-0.000032,-0.000003,-0.000128,0.024809,0.005129,0.004536,0.006879,0.009557,0.004537,0.003364,0.005826
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001718,0.000155,-0.000104,-0.000331,-0.000386,-0.000032,-0.000003,-0.000128,0.024809,0.005129,0.004536,0.006879,0.009557,0.004537,0.003364,0.005826
-0.001718,0.000289,0.000518,0.001134,0.001011,0.000199,0.000093,-0.000024,0.025704,0.004560,0.006800,0.009343,0.011518,0.005542,0.005055,0.006766
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001718,0.000155,-0.000104,-0.000331,-0.000386,-0.000032,-0.000003,-0.000128,0.024809,0.005129,0.004536,0.006879,0.009557,0.004537,0.003364,0.005826
-0.001718,0.000289,0.000518,0.001134,0.001011,0.000199,0.000093,-0.000024,0.025704,0.004560,0.006800,0.009343,0.011518,0.005542,0.005055,0.006766
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001067,0.000135,-0.000014,-0.000121,-0.000128,0.000035,0.000001,0.000562,0.022904,0.009763,0.007377,0.006531,0.009302,0.008590,0.002842,0.009789
-0.004738,0.002837,0.001250,0.000733,0.000099,0.000165,0.000050,0.000244,0.024574,0.015136,0.012513,0.008856,0.007495,0.004363,0.003164,0.011319
-0.006330,0.003649,0.001547,0.001929,0.000372,0.000320,0.000073,0.000104,0.026616,0.017808,0.014837,0.014667,0.012125,0.008588,0.003641,0.006905
0.000018,0.001194,-0.000026,-0.000491,-0.000668,-0.000086,-0.000009,-0.000116,0.027707,0.011420,0.010320,0.015498,0.012315,0.007767,0.002752,0.005129
0.002188,-0.000133,0.000022,-0.000053,0.000014,-0.000008,0.000004,0.000067,0.028626,0.017127,0.012656,0.011881,0.008137,0.005904,0.003217,0.006083
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001718,0.000155,-0.000104,-0.000331,-0.000386,-0.000032,-0.000003,-0.000128,0.024809,0.005129,0.004536,0.006879,0.009557,0.004537,0.003364,0.005826
-0.001718,0.000289,0.000518,0.001134,0.001011,0.000199,0.000093,-0.000024,0.025704,0.004560,0.006800,0.009343,0.011518,0.005542,0.005055,0.006766
-0.000995,-0.001012,-0.000882,-0.000006,-0.000037,0.000084,0.000044,-0.000226,0.033118,0.014722,0.016096,0.015612,0.009065,0.004516,0.003555,0.006791
-0.004159,-0.000003,0.000374,0.000112,0.000026,0.000109,0.000021,-0.000024,0.030350,0.010756,0.010966,0.014362,0.010537,0.004762,0.003790,0.011014
0.007397,-0.000170,-0.000423,0.000277,-0.000472,-0.000030,-0.000016,0.000079,0.034661,0.010864,0.019663,0.016034,0.012960,0.004836,0.003453,0.008491
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001718,0.000155,-0.000104,-0.000331,-0.000386,-0.000032,-0.000003,-0.000128,0.024809,0.005129,0.004536,0.006879,0.009557,0.004537,0.003364,0.005826
-0.001718,0.000289,0.000518,0.001134,0.001011,0.000199,0.000093,-0.000024,0.025704,0.004560,0.006800,0.009343,0.011518,0.005542,0.005055,0.006766
-0.000995,-0.001012,-0.000882,-0.000006,-0.000037,0.000084,0.000044,-0.000226,0.033118,0.014722,0.016096,0.015612,0.009065,0.004516,0.003555,0.006791
-0.004159,-0.000003,0.000374,0.000112,0.000026,0.000109,0.000021,-0.000024,0.030350,0.010756,0.010966,0.014362,0.010537,0.004762,0.003790,0.011014
0.007397,-0.000170,-0.000423,0.000277,-0.000472,-0.000030,-0.000016,0.000079,0.034661,0.010864,0.019663,0.016034,0.012960,0.004836,0.003453,0.008491
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.000760,-0.000735,-0.000571,-0.001426,-0.000294,-0.000573,-0.000003,0.000110,0.026635,0.013182,0.017490,0.014921,0.012030,0.008946,0.005226,0.010073
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.000597,0.002984,0.001846,0.000682,-0.000350,0.000413,0.000010,0.000018,0.025534,0.021144,0.024507,0.017754,0.015669,0.014196,0.003648,0.010500
0.001555,-0.003362,-0.002065,-0.000767,-0.000403,-0.000409,0.000008,-0.000049,0.032109,0.023090,0.019042,0.015835,0.015229,0.012583,0.007609,0.010074
-0.002188,-0.000138,0.000912,0.000253,-0.000086,0.000395,0.000057,-0.000024,0.026620,0.016947,0.019136,0.020565,0.016414,0.013105,0.005443,0.009161
0.006004,0.000748,0.000268,-0.000920,0.000451,0.000214,-0.000003,-0.000018,0.024528,0.025107,0.020216,0.019216,0.020364,0.012750,0.007384,0.009902
