1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.001840,-0.003298,-0.005154,-0.002666,0.004490,-0.004951,-0.017701,-0.028263,0.335485,0.628556,0.680411,0.641410,0.634269,0.663657,0.690130,0.620117
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.001840,-0.003298,-0.005154,-0.002666,0.004490,-0.004951,-0.017701,-0.028263,0.335485,0.628556,0.680411,0.641410,0.634269,0.663657,0.690130,0.620117
0.009578,-0.009801,-0.001021,0.001721,-0.003312,-0.013320,-0.019902,-0.028233,0.276018,0.596618,0.652474,0.606454,0.588692,0.636442,0.682256,0.612462
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.001840,-0.003298,-0.005154,-0.002666,0.004490,-0.004951,-0.017701,-0.028263,0.335485,0.628556,0.680411,0.641410,0.634269,0.663657,0.690130,0.620117
0.009578,-0.009801,-0.001021,0.001721,-0.003312,-0.013320,-0.019902,-0.028233,0.276018,0.596618,0.652474,0.606454,0.588692,0.636442,0.682256,0.612462
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.008921,-0.013237,0.002819,0.000755,-0.004468,-0.004302,-0.021134,-0.004416,0.351507,0.634201,0.639977,0.653928,0.668499,0.661542,0.689969,0.631353
0.010375,-0.014283,0.006832,0.000833,-0.008583,-0.011743,-0.023057,-0.005309,0.271084,0.573141,0.601233,0.612035,0.631950,0.630310,0.682716,0.620058
0.009627,-0.021057,0.005074,-0.005555,-0.013460,-0.014872,-0.024647,-0.003577,0.258586,0.506550,0.570748,0.580493,0.591706,0.612050,0.677967,0.616712
0.004101,-0.018904,0.000223,-0.005747,-0.014344,-0.016620,-0.025548,-0.001968,0.267179,0.468123,0.548608,0.560547,0.559418,0.597194,0.674215,0.611656
-0.001357,-0.021503,0.002139,-0.008479,-0.016127,-0.018862,-0.026262,-0.001368,0.269794,0.442300,0.529032,0.545450,0.533572,0.584511,0.671462,0.609059
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
